N_A,N_B,cost_元,x,m,p_hat,ci_lower,ci_upper,point_est_feasible,main_seed_verdict,main_seed_m,verify_seed_verdict,verify_seed_m
77,4678,8.9810541783886,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
141,4111,8.9810541783886,1,200,0.005,0.0008831687058453758,0.02777370469642793,False,insufficient,200,,
205,3544,8.9810541783886,2,200,0.01,0.0027466581088489593,0.035721762026734716,False,insufficient,200,,
269,2977,8.9810541783886,7,200,0.035,0.01705554191525804,0.0704706118868775,False,insufficient,200,,
333,2410,8.9810541783886,16,200,0.08,0.04984058570487163,0.12598948869705726,False,insufficient,200,,
397,1843,8.9810541783886,33,200,0.165,0.11996855297651625,0.22265781589168893,False,insufficient,200,,
461,1276,8.9810541783886,72,200,0.36,0.2966919725753122,0.4285847188919973,False,insufficient,200,,
525,709,8.9810541783886,120,200,0.6,0.5308367198423567,0.6653942148238506,False,insufficient,200,,
589,142,8.9810541783886,168,200,0.84,0.782859297881253,0.884325879983852,False,insufficient,200,,
20,5183,8.98108035832738,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
84,4616,8.98108035832738,0,200,0.0,0.0,0.018845326668962936,False,insufficient,200,,
148,4049,8.98108035832738,1,200,0.005,0.0008831687058453758,0.02777370469642793,False,insufficient,200,,
212,3482,8.98108035832738,2,200,0.01,0.0027466581088489593,0.035721762026734716,False,insufficient,200,,
276,2915,8.98108035832738,6,200,0.03,0.013820314259191425,0.06389429280963374,False,insufficient,200,,
340,2348,8.98108035832738,19,200,0.095,0.061663102507449205,0.14360161209441077,False,insufficient,200,,
404,1781,8.98108035832738,34,200,0.17,0.12427907881439243,0.22815883678712312,False,insufficient,200,,
468,1214,8.98108035832738,78,200,0.39,0.3250834308878392,0.4590625409793326,False,insufficient,200,,
532,647,8.98108035832738,123,200,0.615,0.5459986716511277,0.6796669032150108,False,insufficient,200,,
596,80,8.98108035832738,3480,4000,0.87,0.8592219997634746,0.8800680121909564,False,insufficient,4000,,
411,1719,8.98110653826616,38,200,0.19,0.1416717149442203,0.25001238759053673,False,insufficient,200,,
