N_A,N_B,cost_元,x,m,p_hat,ci_lower,ci_upper
10,5280,8.995165165390976,0,200,0.0,0.0,0.018845326668962936
10,5312,9.04878168001224,0,200,0.0,0.0,0.018845326668962936
10,5320,9.062185808667557,0,200,0.0,0.0,0.018845326668962936
10,5328,9.075589937322874,0,200,0.0,0.0,0.018845326668962936
11,2609,4.534705735885407,0,25,0.0,0.0,0.13319225276039096
11,3962,6.801678994715801,0,25,0.0,0.0,0.13319225276039096
11,4638,7.934327866090041,0,25,0.0,0.0,0.13319225276039096
11,4977,8.502327817859078,0,25,0.0,0.0,0.13319225276039096
11,5146,8.785490035702637,0,25,0.0,0.0,0.13319225276039096
11,5231,8.927908902665374,0,25,0.0,0.0,0.13319225276039096
11,5252,8.96309474038558,0,25,0.0,0.0,0.13319225276039096
11,5255,8.968121288631323,0,100,0.0,0.0,0.03699349876899627
11,5256,8.969796804713237,0,100,0.0,0.0,0.03699349876899627
11,5257,8.971472320795153,0,100,0.0,0.0,0.03699349876899627
11,5258,8.973147836877066,0,100,0.0,0.0,0.03699349876899627
11,5259,8.974823352958982,0,100,0.0,0.0,0.03699349876899627
11,5260,8.976498869040896,0,100,0.0,0.0,0.03699349876899627
11,5261,8.978174385122811,0,100,0.0,0.0,0.03699349876899627
11,5262,8.979849901204725,0,100,0.0,0.0,0.03699349876899627
11,5263,8.98152541728664,0,200,0.0,0.0,0.018845326668962936
11,5268,8.989902997696213,0,25,0.0,0.0,0.13319225276039096
11,5270,8.993254029860042,0,25,0.0,0.0,0.13319225276039096
11,5271,8.994929545941956,0,200,0.0,0.0,0.018845326668962936
11,5303,9.048546060563222,0,200,0.0,0.0,0.018845326668962936
11,5311,9.061950189218539,0,200,0.0,0.0,0.018845326668962936
11,5319,9.075354317873854,0,200,0.0,0.0,0.018845326668962936
12,2600,4.534470116436387,0,25,0.0,0.0,0.13319225276039096
12,3953,6.801443375266782,0,25,0.0,0.0,0.13319225276039096
12,4630,7.935767762722937,0,25,0.0,0.0,0.13319225276039096
12,4968,8.502092198410056,0,25,0.0,0.0,0.13319225276039096
12,5137,8.785254416253617,0,25,0.0,0.0,0.13319225276039096
12,5222,8.927673283216354,0,25,0.0,0.0,0.13319225276039096
12,5243,8.96285912093656,0,25,0.0,0.0,0.13319225276039096
12,5246,8.967885669182303,0,100,0.0,0.0,0.03699349876899627
12,5247,8.969561185264217,0,100,0.0,0.0,0.03699349876899627
